"","gene_list"
"402778",1.3685154220414
"2823",1.36841580220307
"7037",1.3676478489726
"91",1.36670043307448
"63967",1.35981931036305
"3400",1.35859581817443
"26268",1.35367300535193
"3918",1.35288512626023
"81607",1.35263381184824
"51540",1.3499238502337
"64175",1.34871814856248
"3791",1.3440151396961
"80177",1.3416634573798
"4013",1.3404091455676
"64787",1.33390155138639
"1740",1.33377724799451
"195828",1.33288012972681
"7430",1.32984118563914
"393",1.32230302635324
"4249",1.32112613398507
"8840",1.31741344392
"51181",1.30795675572049
"4643",1.30481342425002
"1192",1.30061540472793
"1508",1.30055095930926
"83879",1.29776099076213
"8406",1.29744448972171
"146760",1.29517445061412
"55331",1.2895740115787
"284207",1.28805521357609
"5806",1.28800663411417
"3418",1.28751231976539
"1774",1.28416846973325
"7782",1.28157467996247
"90550",1.27982774879893
"85462",1.27798582711687
"23277",1.27713767518979
"57142",1.27482372927377
"10733",1.27466097347298
"55288",1.27334379555181
"4745",1.27252796705299
"5997",1.26974826400626
"23254",1.2615495965975
"80021",1.26077819265038
"55143",1.26015388631293
"5604",1.25706190819135
"9037",1.25261054022861
"9141",1.25185606956835
"2027",1.25114029208429
"7371",1.24903032512839
"6385",1.2441980502851
"3556",1.2401488687965
"388403",1.23888470927433
"5168",1.23867084824243
"283349",1.23864269760764
"5292",1.23824864852365
"25824",1.23662182963054
"23464",1.23621879467552
"9120",1.23140041413461
"9435",1.22834858664042
"4651",1.22632170449896
"6445",1.22555085673992
"119587",1.2254828869488
"51332",1.2229818433176
"79019",1.22050028253314
"8914",1.22003706237989
"25800",1.21956063736103
"60481",1.21862041153537
"144402",1.21834326338006
"64858",1.21750445110676
"81579",1.21544807767999
"23366",1.21357732208359
"65059",1.21253996490151
"2289",1.21239980893776
"25825",1.21205051703866
"11343",1.21145104555494
"8848",1.21025985098354
"2487",1.20939851737153
"5973",1.20744916363543
"55735",1.20101774564612
"6584",1.19677847159413
"2070",1.19579284428127
"27106",1.19316388902378
"55973",1.19072651712058
"4205",1.1893864403939
"55176",1.18527434931368
"29760",1.18277737643646
"90161",1.18218963928432
"6342",1.17929056741907
"93663",1.1773630535559
"2184",1.17640802059276
"5468",1.17378483298328
"51053",1.17233542751408
"2802",1.17118634967536
"55093",1.17113634403788
"10367",1.17065708530855
"730",1.16960010994743
"11057",1.16798463266854
"6462",1.16265365526554
"91298",1.16223580164312
"6472",1.16123707822961
"3914",1.15696062588163
"114569",1.15688367814047
"3910",1.14879673858611
"3394",1.14842264935751
"9519",1.14761300864579
"115207",1.14616579424477
"22795",1.14503818458391
"7093",1.14383263473289
"399694",1.14302222864876
"8991",1.14074015618576
"1181",1.13808705319705
"84105",1.13733660575899
"2822",1.13669052750631
"666",1.13348840016518
"580",1.13251601618065
"138428",1.12748206553182
"50940",1.12734293120867
"4644",1.1249423725647
"64077",1.12134314425149
"79810",1.1169490320809
"2886",1.11552338794287
"4609",1.11446987975173
"54892",1.11337561239741
"2122",1.10872218787028
"9847",1.10843961485948
"529",1.10613259518011
"50848",1.1043673032861
"7263",1.10113497786307
"8031",1.10086128392382
"81788",1.0986925163058
"56992",1.09845238979169
"5142",1.09520987379224
"1318",1.09518357188857
"51116",1.09416142596486
"999",1.09177614950633
"2729",1.08961853935545
"80228",1.0894971446926
"404636",1.08745098739055
"1182",1.08644442420098
"10095",1.08437138133117
"164312",1.08157222945244
"79989",1.08092883109725
"29028",1.07687631232736
"22978",1.07649354753593
"51294",1.07470427763208
"80270",1.07360886317197
"63922",1.07262181088689
"8814",1.07248885323971
"4048",1.0646026940167
"3295",1.06323455729141
"3675",1.06282857462543
"255877",1.05749346953032
"2152",1.0573636817012
"10553",1.05696355956033
"92856",1.05447144278133
"57020",1.05443676074188
"5226",1.05300151628307
"80308",1.05121690447126
"1848",1.04942498477143
"50",1.04788066738745
"3925",1.0471394711747
"23474",1.04695679378172
"10162",1.04531414810105
"10380",1.04388686024297
"10630",1.04356230135977
"9156",1.03859790085801
"26586",1.0346104243609
"221895",1.02948105533652
"92579",1.02924813798266
"23788",1.02595967579702
"5602",1.0245211187242
"55752",1.020897621635
"119392",1.01874692652877
"171586",1.01810722688238
"8482",1.0154564253812
"56913",1.01523362151707
"2081",1.01458895378851
"6282",1.01423136995772
"93210",1.01334112943926
"256356",1.01137093112346
"5962",1.01129564843387
"5771",1.00838377471168
"341676",1.00564524643774
"3710",1.00432714216451
"2717",1.00428296011993
"64080",1.00344740869157
"22936",1.00331792846364
"55320",1.00141278249801
"84329",0.999094899687866
"55706",0.996562636648706
"1841",0.994998060316874
"1282",0.992974880032436
"2203",0.992585931338277
"1892",0.991636228493124
"147841",0.988878467978434
"55022",0.988569011401296
"373156",0.988102141493218
"5170",0.986080083404764
"5881",0.982887467326661
"54952",0.982305405711426
"3176",0.98062912245175
"25778",0.980589752212776
"283431",0.978429122665818
"56255",0.977907093165287
"11329",0.974152231194815
"734",0.969763322586095
"11010",0.969687112369572
"1497",0.969546758468853
"8754",0.969220786489363
"2321",0.969039024507678
"23252",0.968978126402184
"90411",0.967591501011662
"80146",0.967203694849447
"7358",0.961367409911067
"10244",0.961185473769701
"54059",0.955426032546602
"8428",0.95353822648013
"11062",0.951275107596284
"5447",0.950121130618987
"23731",0.948823043223286
"8554",0.948769599044832
"360023",0.948250376762146
"55902",0.946708421064222
"5621",0.946163071710855
"51312",0.944981871415823
"8872",0.94411055153713
"79078",0.943210260401691
"22908",0.942855595998106
"54836",0.942414669287272
"2549",0.940952323517091
"163126",0.938374566612171
"2687",0.937710464737261
"221294",0.935652418545325
"3920",0.933750573792789
"51260",0.932871790782199
"3633",0.932761016006009
"116984",0.931041580418346
"5597",0.930736831127448
"7347",0.930684483857543
"2805",0.929743728490347
"79154",0.92567397233174
"26271",0.924620234223125
"127435",0.923831069767051
"30061",0.92365619648711
"4855",0.921928998495159
"262",0.921704898408574
"211",0.920874844078769
"51606",0.919507999492685
"308",0.917424249149396
"1805",0.917075750655585
"3156",0.910644655135777
"27000",0.910306596318292
"151246",0.910077423978342
"25996",0.909598272973734
"10654",0.907859934898782
"56267",0.907155768935951
"54929",0.906101406135956
"6480",0.905742080063716
"92255",0.905732851573688
"57103",0.905220855869554
"9936",0.901740377468808
"54477",0.896628334102249
"928",0.896614402503363
"3985",0.896139093062606
"4739",0.894702906317556
"79568",0.893975563218422
"28969",0.890401001147514
"51523",0.88971779945008
"1032",0.882173646175144
"9296",0.88207786655466
"79742",0.881460102364997
"7353",0.8802705292283
"79728",0.878892789224816
"7384",0.876611190495738
"11234",0.875877305899596
"64859",0.875158018804129
"929",0.872847398305733
"3162",0.868179418943761
"2660",0.868081116094348
"3726",0.867546366710676
"57478",0.866833435273865
"23262",0.864419632125484
"22918",0.863300750718383
"10455",0.859261889768406
"271",0.857161354186724
"8766",0.856798071814894
"573",0.855744270196386
"9236",0.853186648790762
"481",0.850851664527756
"26585",0.849578244371804
"8773",0.849182660618928
"10397",0.848891998568031
"8412",0.847615550714556
"9377",0.84647573851521
"79915",0.846439095278277
"144577",0.845924315930386
"9180",0.845849748876605
"2971",0.845661040385163
"220965",0.844348615592657
"9961",0.844290418983713
"3148",0.842537586455827
"7126",0.841733811497903
"9943",0.839763747237076
"7010",0.836866728547425
"119559",0.836311263173639
"51103",0.834711697672324
"114049",0.831227264450622
"334",0.828150661958964
"3155",0.827171750700997
"84079",0.826834182883227
"729440",0.825487299699162
"2113",0.823811891857532
"6520",0.822213963941097
"5321",0.822005269364627
"11232",0.821477598579268
"8322",0.820612724912618
"2010",0.818630757279017
"9209",0.817913578160552
"79974",0.816688334527296
"51232",0.816088582361925
"94005",0.812567239172148
"5027",0.811084741703636
"37",0.810579949803619
"3998",0.808426086530876
